timestamp, index, uuid, memory.used [MiB]
2026/09/16 11:14:51.490, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:51.591, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:51.691, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:51.791, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:51.891, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:51.997, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:52.097, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:52.197, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:52.298, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:52.398, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:52.498, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:52.599, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1888 MiB
2026/09/16 11:14:52.699, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1888 MiB
2026/09/16 11:14:52.799, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1888 MiB
2026/09/16 11:14:52.899, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:53.000, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:53.100, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:53.200, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:53.300, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:53.401, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:53.501, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:53.601, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:53.701, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:53.802, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:53.902, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:54.002, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:54.102, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:54.203, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:54.303, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:54.403, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1856 MiB
2026/09/16 11:14:54.504, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1832 MiB
2026/09/16 11:14:54.604, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1832 MiB
2026/09/16 11:14:54.704, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1832 MiB
2026/09/16 11:14:54.804, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1832 MiB
2026/09/16 11:14:54.905, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1832 MiB
2026/09/16 11:14:55.005, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1842 MiB
2026/09/16 11:14:55.105, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2088 MiB
2026/09/16 11:14:55.205, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2488 MiB
2026/09/16 11:14:55.306, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2864 MiB
2026/09/16 11:14:55.406, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 3350 MiB
2026/09/16 11:14:55.506, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 3850 MiB
2026/09/16 11:14:55.607, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 4341 MiB
2026/09/16 11:14:55.707, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 4821 MiB
2026/09/16 11:14:55.808, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 5321 MiB
2026/09/16 11:14:55.908, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 5775 MiB
2026/09/16 11:14:56.008, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 6255 MiB
2026/09/16 11:14:56.108, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 6723 MiB
2026/09/16 11:14:56.209, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 7159 MiB
2026/09/16 11:14:56.309, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 7649 MiB
2026/09/16 11:14:56.409, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 8095 MiB
2026/09/16 11:14:56.510, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 8587 MiB
2026/09/16 11:14:56.610, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9031 MiB
2026/09/16 11:14:56.710, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9157 MiB
2026/09/16 11:14:56.810, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9169 MiB
2026/09/16 11:14:56.911, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9173 MiB
2026/09/16 11:14:57.011, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9175 MiB
2026/09/16 11:14:57.111, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9175 MiB
2026/09/16 11:14:57.211, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9175 MiB
2026/09/16 11:14:57.312, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9189 MiB
2026/09/16 11:14:57.412, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9307 MiB
2026/09/16 11:14:57.512, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9307 MiB
2026/09/16 11:14:57.613, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9307 MiB
2026/09/16 11:14:57.713, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9307 MiB
2026/09/16 11:14:57.813, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9609 MiB
2026/09/16 11:14:57.913, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11231 MiB
2026/09/16 11:14:58.014, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11231 MiB
2026/09/16 11:14:58.114, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11231 MiB
2026/09/16 11:14:58.214, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11231 MiB
2026/09/16 11:14:58.314, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11231 MiB
2026/09/16 11:14:58.415, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11231 MiB
2026/09/16 11:14:58.515, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11231 MiB
2026/09/16 11:14:58.615, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11231 MiB
2026/09/16 11:14:58.716, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11231 MiB
2026/09/16 11:14:58.816, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11221 MiB
2026/09/16 11:14:58.916, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11236 MiB
2026/09/16 11:14:59.016, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11236 MiB
2026/09/16 11:14:59.117, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 4924 MiB
2026/09/16 11:14:59.217, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:14:59.317, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:14:59.417, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:14:59.518, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:14:59.618, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:14:59.718, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:14:59.819, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:14:59.919, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:15:00.019, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:15:00.119, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:15:00.220, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:15:00.320, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:15:00.420, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:15:00.520, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:15:00.621, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:15:00.721, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:15:00.821, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:15:00.921, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:15:01.022, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:15:01.122, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:15:01.222, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:15:01.322, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:15:01.423, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:15:01.523, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:15:01.623, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:15:01.724, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:15:01.824, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:15:01.924, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:15:02.025, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:15:02.125, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:15:02.225, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:15:02.325, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:15:02.426, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:15:02.526, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:15:02.626, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:15:02.727, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
