timestamp, index, uuid, memory.used [MiB]
2026/09/16 11:49:06.260, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:06.361, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:06.461, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:06.561, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:06.662, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:06.762, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:06.862, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:06.962, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:07.063, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:07.163, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:07.264, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:07.364, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:07.464, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:07.565, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:07.665, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:07.766, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:07.866, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:07.967, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:08.067, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:08.167, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:08.268, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:08.368, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:08.469, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:08.569, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:08.669, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:08.772, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:08.872, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:08.973, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:09.073, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:09.173, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:09.274, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2585 MiB
2026/09/16 11:49:09.374, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2637 MiB
