timestamp, index, uuid, memory.used [MiB]
2026/09/16 11:06:06.535, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1806 MiB
2026/09/16 11:06:06.635, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1806 MiB
2026/09/16 11:06:06.735, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1806 MiB
2026/09/16 11:06:06.836, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1806 MiB
2026/09/16 11:06:06.936, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1806 MiB
2026/09/16 11:06:07.036, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:06:07.137, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:06:07.237, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:06:07.337, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:06:07.438, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:06:07.538, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:06:07.638, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:06:07.739, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:06:07.839, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:06:07.939, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:06:08.039, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:06:08.140, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:06:08.240, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:06:08.340, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:06:08.441, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:06:08.541, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:06:08.641, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
