timestamp, index, uuid, memory.used [MiB]
2026/09/16 11:23:55.451, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:55.551, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:55.652, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:55.752, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:55.852, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:55.953, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:56.053, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:56.153, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:56.254, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:56.354, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:56.454, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1787 MiB
2026/09/16 11:23:56.554, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1787 MiB
2026/09/16 11:23:56.655, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1787 MiB
2026/09/16 11:23:56.755, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1787 MiB
2026/09/16 11:23:56.855, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1787 MiB
2026/09/16 11:23:56.956, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1787 MiB
2026/09/16 11:23:57.056, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1755 MiB
2026/09/16 11:23:57.156, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:57.257, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:57.357, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:57.457, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:57.557, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:57.658, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:57.762, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:57.863, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:57.963, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:58.063, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:23:58.163, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1786 MiB
2026/09/16 11:23:58.264, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1786 MiB
2026/09/16 11:23:58.364, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1786 MiB
2026/09/16 11:23:58.464, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1786 MiB
2026/09/16 11:23:58.565, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1755 MiB
2026/09/16 11:23:58.665, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1807 MiB
2026/09/16 11:23:58.765, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1807 MiB
2026/09/16 11:23:58.866, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1807 MiB
2026/09/16 11:23:58.966, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1816 MiB
2026/09/16 11:23:59.066, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1817 MiB
2026/09/16 11:23:59.167, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2199 MiB
2026/09/16 11:23:59.267, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2595 MiB
2026/09/16 11:23:59.367, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 3075 MiB
2026/09/16 11:23:59.468, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 3549 MiB
2026/09/16 11:23:59.568, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 4019 MiB
2026/09/16 11:23:59.668, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 4479 MiB
2026/09/16 11:23:59.769, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 4945 MiB
2026/09/16 11:23:59.869, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 5419 MiB
2026/09/16 11:23:59.969, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 5899 MiB
2026/09/16 11:24:00.069, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 6419 MiB
2026/09/16 11:24:00.170, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 6783 MiB
2026/09/16 11:24:00.270, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 7243 MiB
2026/09/16 11:24:00.370, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 7695 MiB
2026/09/16 11:24:00.471, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 8159 MiB
2026/09/16 11:24:00.571, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 8651 MiB
2026/09/16 11:24:00.671, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9041 MiB
2026/09/16 11:24:00.772, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9053 MiB
2026/09/16 11:24:00.872, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9139 MiB
2026/09/16 11:24:00.972, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9143 MiB
2026/09/16 11:24:01.073, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9147 MiB
2026/09/16 11:24:01.173, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9147 MiB
2026/09/16 11:24:01.273, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9147 MiB
2026/09/16 11:24:01.373, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9169 MiB
2026/09/16 11:24:01.474, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9265 MiB
2026/09/16 11:24:01.574, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9265 MiB
2026/09/16 11:24:01.674, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9265 MiB
2026/09/16 11:24:01.774, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9265 MiB
2026/09/16 11:24:01.875, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9925 MiB
2026/09/16 11:24:01.975, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11217 MiB
2026/09/16 11:24:02.075, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11217 MiB
2026/09/16 11:24:02.176, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11217 MiB
2026/09/16 11:24:02.276, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11217 MiB
2026/09/16 11:24:02.376, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11217 MiB
2026/09/16 11:24:02.476, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11217 MiB
2026/09/16 11:24:02.577, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11185 MiB
2026/09/16 11:24:02.677, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11237 MiB
2026/09/16 11:24:02.777, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11237 MiB
2026/09/16 11:24:02.878, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11237 MiB
2026/09/16 11:24:02.978, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11237 MiB
2026/09/16 11:24:03.078, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 11237 MiB
2026/09/16 11:24:03.179, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 3239 MiB
2026/09/16 11:24:03.279, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1806 MiB
2026/09/16 11:24:03.379, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1806 MiB
2026/09/16 11:24:03.479, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1806 MiB
2026/09/16 11:24:03.580, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1806 MiB
2026/09/16 11:24:03.680, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1786 MiB
2026/09/16 11:24:03.780, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1786 MiB
2026/09/16 11:24:03.881, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1786 MiB
2026/09/16 11:24:03.981, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1786 MiB
2026/09/16 11:24:04.081, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1786 MiB
2026/09/16 11:24:04.181, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1786 MiB
2026/09/16 11:24:04.282, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1786 MiB
2026/09/16 11:24:04.382, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1754 MiB
2026/09/16 11:24:04.482, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:24:04.582, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:24:04.683, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:24:04.783, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:24:04.883, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:24:04.986, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:24:05.087, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:24:05.187, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:24:05.287, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:24:05.387, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1808 MiB
2026/09/16 11:24:05.488, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1787 MiB
2026/09/16 11:24:05.588, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1787 MiB
2026/09/16 11:24:05.688, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1787 MiB
2026/09/16 11:24:05.788, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1787 MiB
2026/09/16 11:24:05.889, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1787 MiB
2026/09/16 11:24:05.989, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1787 MiB
2026/09/16 11:24:06.089, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1755 MiB
2026/09/16 11:24:06.189, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1755 MiB
2026/09/16 11:24:06.290, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1810 MiB
2026/09/16 11:24:06.390, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1810 MiB
2026/09/16 11:24:06.490, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1810 MiB
