id,category,promptVariant,seed,gpuStatus,macStatus,generationSeconds,peakWholeDeviceVRAMMiB,glbBytes,plyBytes,sourceTriangles,rawUpwardFaces,primarySampledFloorHits,primaryValidFootprints,primaryEnclosurePoints,primaryAcceptedReversibleRoute,primaryRouteStatus,primaryRouteLengthMetres,primaryRouteDisplacementMetres,primaryCause,primaryBrowserStatus,primaryFullPipelinePassed,scale10GeometryStatus,scale10BrowserStatus,scale12GeometryStatus,scale12BrowserStatus,scaleSensitive,secondaryRescue
large_open_interior-1-7,large_open_interior,1,7,succeeded,ready,159.51133239100454,17349,15282260,43180960,848980,396175,1426,94,0,false,no accepted route,0,0,enclosure-missing,not-assessed,false,passed,passed,passed,passed,true,true
tunnel-1-7,tunnel,1,7,succeeded,ready,70.18354256900056,17171,13634316,41607712,757356,361831,786,340,204,false,no accepted route,0,0,sustained-enclosure-or-bounded-route,not-assessed,false,passed,failed,passed,failed,true,true
doorway-1-7,doorway,1,7,succeeded,ready,68.64225567500398,16564,14308356,36576800,794370,385664,1012,506,22,false,no accepted route,0,0,sustained-enclosure-or-bounded-route,not-assessed,false,failed,not-assessed,failed,not-assessed,false,false
narrow_passage-1-7,narrow_passage,1,7,succeeded,ready,72.2287581510027,17702,24188820,45746464,1342526,718018,859,384,314,true,accepted reversible route,3.6,3.0594117081556718,browser-failure,failed,false,passed,failed,passed,failed,false,false
chamber-1-7,chamber,1,7,succeeded,ready,90.11204043700127,20077,30127576,73159713,1673652,828816,1921,1141,494,true,accepted reversible route,3.000000000000001,3,browser-failure,failed,false,failed,not-assessed,failed,not-assessed,true,false
cave-1-7,cave,1,7,succeeded,ready,77.58481451699481,19204,22919080,54528800,1273170,632305,1025,310,182,false,no accepted route,0,0,disconnected-or-no-3m-route,not-assessed,false,failed,not-assessed,passed,failed,true,true
corridor-1-7,corridor,1,7,succeeded,ready,73.14392725299695,16195,13326084,26913184,740284,353561,767,283,145,true,accepted reversible route,3.0000000000000004,3.0000000000000004,browser-failure,failed,false,passed,failed,passed,failed,false,false
courtyard-1-7,courtyard,1,7,succeeded,ready,84.77033285600191,23338,27807040,60741280,1544768,732451,900,298,187,false,no accepted route,0,0,exterior-seam-rejected,not-assessed,false,passed,failed,passed,failed,true,true
bridge-1-7,bridge,1,7,succeeded,ready,74.14889771000162,17838,15468952,50411808,859044,420155,1091,256,19,false,no accepted route,0,0,sustained-enclosure-or-bounded-route,not-assessed,false,passed,failed,failed,not-assessed,true,true
large_open_interior-1-42,large_open_interior,1,42,succeeded,ready,67.21277312200255,16308,13399956,34439968,744360,332513,1195,402,105,false,no accepted route,0,0,sustained-enclosure-or-bounded-route,not-assessed,false,passed,passed,passed,failed,true,true
bridge-1-42,bridge,1,42,succeeded,ready,65.44191685799888,15529,10124028,28401568,562340,277991,599,49,0,false,no accepted route,0,0,enclosure-missing,not-assessed,false,failed,not-assessed,passed,failed,true,true
doorway-1-42,doorway,1,42,succeeded,ready,91.945961575002,21155,39929224,88039201,2216472,1065709,2388,1176,447,false,no accepted route,0,0,sustained-enclosure-or-bounded-route,not-assessed,false,failed,not-assessed,failed,not-assessed,false,false
narrow_passage-1-42,narrow_passage,1,42,succeeded,ready,102.79582064200076,22727,38328904,110040737,2128166,1071487,1748,1155,427,false,no accepted route,0,0,sustained-enclosure-or-bounded-route,not-assessed,false,failed,not-assessed,failed,not-assessed,false,false
cave-1-42,cave,1,42,succeeded,ready,71.7302464769964,17567,19092988,45065376,1060506,534226,900,262,137,false,no accepted route,0,0,disconnected-or-no-3m-route,not-assessed,false,failed,not-assessed,passed,failed,true,true
courtyard-1-42,courtyard,1,42,succeeded,ready,75.18075865999708,17905,25889040,50533664,1437656,706644,1014,638,49,true,accepted reversible route,5.6000000000000005,4,passed,passed,true,passed,failed,passed,failed,false,false
corridor-1-42,corridor,1,42,succeeded,ready,74.0422591059978,17480,25938024,48124832,1440730,733059,3273,1401,672,true,accepted reversible route,3,3,browser-failure,failed,false,passed,passed,passed,passed,false,false
tunnel-1-42,tunnel,1,42,succeeded,ready,81.36546384500252,19382,21862156,68085281,1214008,636465,1578,417,191,false,no accepted route,0,0,sustained-enclosure-or-bounded-route,not-assessed,false,failed,not-assessed,failed,not-assessed,false,false
chamber-1-42,chamber,1,42,succeeded,ready,97.57427841699973,22193,41060224,104481057,2279942,1155666,2229,1383,655,false,no accepted route,0,0,sustained-enclosure-or-bounded-route,not-assessed,false,failed,not-assessed,failed,not-assessed,false,false
courtyard-2-7,courtyard,2,7,succeeded,ready,70.26409212600265,17199,13327308,41899296,740336,377452,1214,644,305,true,accepted reversible route,3.0000000000000004,3.0000000000000004,passed,passed,true,passed,failed,passed,failed,false,false
bridge-2-7,bridge,2,7,succeeded,ready,67.01230608000333,16218,10783768,33650080,599148,286422,1092,259,0,false,no accepted route,0,0,enclosure-missing,not-assessed,false,failed,not-assessed,failed,not-assessed,false,false
tunnel-2-7,tunnel,2,7,succeeded,ready,78.15387166599976,18808,17419744,57995168,967640,510223,786,199,29,true,accepted reversible route,5.4,4.6,browser-failure,failed,false,passed,failed,failed,not-assessed,true,false
corridor-2-7,corridor,2,7,succeeded,ready,64.48222607899515,15456,12648472,27265696,702590,350008,879,311,25,false,no accepted route,0,0,sustained-enclosure-or-bounded-route,not-assessed,false,failed,not-assessed,passed,passed,true,true
narrow_passage-2-7,narrow_passage,2,7,succeeded,ready,75.39647712199803,18263,22475752,53521312,1248202,559149,1701,1194,558,true,accepted reversible route,3,3,passed,passed,true,passed,failed,passed,failed,false,false
chamber-2-7,chamber,2,7,succeeded,ready,75.9438576360044,18334,28767112,54158880,1597526,949434,1688,1401,672,false,no accepted route,0,0,sustained-enclosure-or-bounded-route,not-assessed,false,failed,not-assessed,failed,not-assessed,false,false
cave-2-7,cave,2,7,succeeded,ready,82.07551497699751,19396,20287024,68263713,1126980,575368,901,335,108,true,accepted reversible route,4,3.4525353003264136,passed,passed,true,failed,not-assessed,failed,not-assessed,true,false
large_open_interior-2-7,large_open_interior,2,7,succeeded,ready,93.74813696699857,21331,28569828,98708129,1586842,794205,2032,639,88,false,no accepted route,0,0,sustained-enclosure-or-bounded-route,not-assessed,false,passed,failed,passed,failed,true,true
doorway-2-7,doorway,2,7,succeeded,ready,64.72332124500099,15245,13884036,25846944,771472,385630,601,265,91,true,accepted reversible route,3.8000000000000007,3.2557641192199416,passed,passed,true,passed,failed,passed,passed,false,false
large_open_interior-2-42,large_open_interior,2,42,succeeded,ready,84.8346585870022,19009,32724772,72171809,1817372,864831,3315,1321,592,false,no accepted route,0,0,no-exterior-entry,not-assessed,false,failed,not-assessed,failed,not-assessed,false,false
doorway-2-42,doorway,2,42,succeeded,ready,71.16667463599879,17038,17341836,40500128,963096,469300,1031,440,26,true,accepted reversible route,3.4000000000000004,3.0265491900843116,browser-failure,failed,false,passed,failed,passed,passed,false,false
corridor-2-42,corridor,2,42,succeeded,ready,69.00505364599667,16516,19132312,36198176,1062398,522834,1749,1084,564,true,accepted reversible route,3,3,browser-failure,failed,false,passed,failed,passed,failed,false,false
chamber-2-42,chamber,2,42,succeeded,ready,83.92963533599686,19581,36972272,70328737,2052202,1068992,3376,1408,679,false,no accepted route,0,0,sustained-enclosure-or-bounded-route,not-assessed,false,failed,not-assessed,failed,not-assessed,false,false
narrow_passage-2-42,narrow_passage,2,42,succeeded,ready,74.59922857300262,18061,26480124,51824032,1468980,608728,1737,1458,729,false,no accepted route,0,0,sustained-enclosure-or-bounded-route,not-assessed,false,failed,not-assessed,failed,not-assessed,false,false
courtyard-2-42,courtyard,2,42,succeeded,ready,83.29690489800123,19112,30572428,71671329,1697748,861033,2331,1126,403,false,no accepted route,0,0,no-exterior-entry,not-assessed,false,failed,not-assessed,failed,not-assessed,false,false
cave-2-42,cave,2,42,succeeded,ready,90.41818812499696,21932,33864988,76543393,1880112,909171,1757,870,264,false,no accepted route,0,0,disconnected-or-no-3m-route,not-assessed,false,passed,failed,failed,not-assessed,true,true
bridge-2-42,bridge,2,42,succeeded,ready,89.22147864100407,20596,29678536,82538273,1648866,799878,2457,118,9,false,no accepted route,0,0,sustained-enclosure-or-bounded-route,not-assessed,false,passed,passed,passed,failed,true,true
tunnel-2-42,tunnel,2,42,succeeded,ready,94.5384601140031,20696,39032728,95300513,2167308,1041666,1617,543,133,false,no accepted route,0,0,sustained-enclosure-or-bounded-route,not-assessed,false,failed,not-assessed,failed,not-assessed,false,false
