timestamp, index, uuid, memory.used [MiB]
2026/09/16 11:50:51.038, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2329 MiB
2026/09/16 11:50:51.139, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:50:51.239, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:50:51.339, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:50:51.440, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:50:51.541, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:50:51.643, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:50:51.743, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:50:51.843, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:50:51.944, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:50:52.044, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:50:52.144, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:50:52.245, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:50:52.345, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:50:52.445, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:50:52.546, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:50:52.646, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:50:52.747, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1805 MiB
2026/09/16 11:50:52.847, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:50:52.947, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:50:53.048, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:50:53.148, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:50:53.248, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:50:53.348, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:50:53.450, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:50:53.551, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:50:53.651, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:50:53.751, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:50:53.851, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:50:53.952, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:50:54.052, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1785 MiB
2026/09/16 11:50:54.152, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:50:54.253, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:50:54.353, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:50:54.453, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:50:54.553, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:50:54.654, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:50:54.754, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:50:54.854, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1753 MiB
2026/09/16 11:50:54.955, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 1764 MiB
2026/09/16 11:50:55.055, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2132 MiB
2026/09/16 11:50:55.155, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2562 MiB
2026/09/16 11:50:55.255, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 3026 MiB
2026/09/16 11:50:55.356, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 3484 MiB
2026/09/16 11:50:55.456, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 3890 MiB
2026/09/16 11:50:55.556, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 4356 MiB
2026/09/16 11:50:55.656, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 4830 MiB
2026/09/16 11:50:55.757, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 5300 MiB
2026/09/16 11:50:55.857, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 5760 MiB
2026/09/16 11:50:55.957, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 6246 MiB
2026/09/16 11:50:56.058, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 6720 MiB
2026/09/16 11:50:56.158, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 7146 MiB
2026/09/16 11:50:56.258, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 7626 MiB
2026/09/16 11:50:56.358, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 7982 MiB
2026/09/16 11:50:56.459, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 8442 MiB
2026/09/16 11:50:56.559, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 8816 MiB
2026/09/16 11:50:56.659, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9002 MiB
2026/09/16 11:50:56.760, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9058 MiB
2026/09/16 11:50:56.860, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9064 MiB
2026/09/16 11:50:56.960, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9066 MiB
2026/09/16 11:50:57.060, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9066 MiB
2026/09/16 11:50:57.161, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9066 MiB
2026/09/16 11:50:57.261, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9056 MiB
2026/09/16 11:50:57.361, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9174 MiB
2026/09/16 11:50:57.461, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 9174 MiB
