timestamp, index, uuid, memory.used [MiB]
2026/09/16 11:10:36.264, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:36.364, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:36.464, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:36.565, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:36.665, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:36.765, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:36.866, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:36.966, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:37.066, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:37.167, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:37.267, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:37.367, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:37.467, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:37.568, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:37.668, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:37.768, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2641 MiB
2026/09/16 11:10:37.869, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2641 MiB
2026/09/16 11:10:37.969, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2641 MiB
2026/09/16 11:10:38.069, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2641 MiB
2026/09/16 11:10:38.170, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2641 MiB
2026/09/16 11:10:38.270, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2641 MiB
2026/09/16 11:10:38.370, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2641 MiB
2026/09/16 11:10:38.472, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2641 MiB
2026/09/16 11:10:38.572, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2641 MiB
2026/09/16 11:10:38.673, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2641 MiB
2026/09/16 11:10:38.773, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:38.875, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:38.975, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:39.076, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:39.176, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:39.276, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:39.377, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:39.477, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
2026/09/16 11:10:39.577, 0, GPU-02ec26d3-2fcf-7527-1110-7120a701ec49, 2620 MiB
